Time [s],Channel 0
51.128000000,0.681
51.132000000,0.683
51.136000000,0.683
51.140000000,0.681
51.144000000,0.683
51.148000000,0.683
51.152000000,0.683
51.156000000,0.681
51.160000000,0.681
51.164000000,0.683
51.168000000,0.681
51.172000000,0.683
51.176000000,0.683
51.180000000,0.681
51.184000000,0.683
51.188000000,0.683
51.192000000,0.683
51.196000000,0.681
51.200000000,0.681
51.204000000,0.683
51.208000000,0.681
51.212000000,0.683
51.216000000,0.683
51.220000000,0.683
51.224000000,0.683
51.228000000,0.683
51.232000000,0.681
51.236000000,0.681
51.240000000,0.681
51.244000000,0.681
51.248000000,0.683
51.252000000,0.683
51.256000000,0.681
51.260000000,0.683
51.264000000,0.681
51.268000000,0.681
51.272000000,0.681
51.276000000,0.681
51.280000000,0.681
51.284000000,0.681
51.288000000,0.683
51.292000000,0.683
51.296000000,0.681
51.300000000,0.681
51.304000000,0.681
51.308000000,0.681
51.312000000,0.683
51.316000000,0.681
51.320000000,0.683
51.324000000,0.683
51.328000000,0.683
51.332000000,0.683
51.336000000,0.683
51.340000000,0.683
51.344000000,0.681
51.348000000,0.681
51.352000000,0.681
51.356000000,0.681
51.360000000,0.681
51.364000000,0.681
51.368000000,0.681
51.372000000,0.681
51.376000000,0.683
51.380000000,0.681
51.384000000,0.681
51.388000000,0.683
51.392000000,0.681
51.396000000,0.681
51.400000000,0.683
51.404000000,0.683
51.408000000,0.681
51.412000000,0.681
51.416000000,0.683
51.420000000,0.681
51.424000000,0.681
51.428000000,0.683
51.432000000,0.683
51.436000000,0.681
51.440000000,0.683
51.444000000,0.683
51.448000000,0.681
51.452000000,0.681
51.456000000,0.681
51.460000000,0.681
51.464000000,0.681
51.468000000,0.681
51.472000000,0.681
51.476000000,0.681
51.480000000,0.681
51.484000000,0.681
51.488000000,0.681
51.492000000,0.681
51.496000000,0.681
51.500000000,0.681
51.504000000,0.681
51.508000000,0.681
51.512000000,0.681
51.516000000,0.683
51.520000000,0.681
51.524000000,0.683
51.528000000,0.681
51.532000000,0.681
51.536000000,0.681
51.540000000,0.681
51.544000000,0.683
51.548000000,0.683
51.552000000,0.683
51.556000000,0.681
51.560000000,0.681
51.564000000,0.681
51.568000000,0.683
51.572000000,0.683
51.576000000,0.681
51.580000000,0.681
51.584000000,0.681
51.588000000,0.681
51.592000000,0.681
51.596000000,0.681
51.600000000,0.681
51.604000000,0.681
51.608000000,0.681
51.612000000,0.681
51.616000000,0.681
51.620000000,0.681
51.624000000,0.681
51.628000000,0.681
51.632000000,0.683
51.636000000,0.683
51.640000000,0.681
51.644000000,0.681
51.648000000,0.681
51.652000000,0.681
51.656000000,0.681
51.660000000,0.681
51.664000000,0.681
51.668000000,0.681
51.672000000,0.681
51.676000000,0.683
51.680000000,0.683
51.684000000,0.683
51.688000000,0.681
51.692000000,0.683
51.696000000,0.683
51.700000000,0.683
51.704000000,0.683
51.708000000,0.683
51.712000000,0.681
51.716000000,0.681
51.720000000,0.681
51.724000000,0.681
51.728000000,0.683
51.732000000,0.681
51.736000000,0.681
51.740000000,0.681
51.744000000,0.683
51.748000000,0.681
51.752000000,0.681
51.756000000,0.683
51.760000000,0.683
51.764000000,0.681
51.768000000,0.681
51.772000000,0.681
51.776000000,0.681
51.780000000,0.681
51.784000000,0.681
51.788000000,0.681
51.792000000,0.681
51.796000000,0.681
51.800000000,0.681
51.804000000,0.681
51.808000000,0.683
51.812000000,0.683
51.816000000,0.681
51.820000000,0.681
51.824000000,0.681
51.828000000,0.681
51.832000000,0.681
51.836000000,0.681
51.840000000,0.681
51.844000000,0.681
51.848000000,0.681
51.852000000,0.681
51.856000000,0.681
51.860000000,0.681
51.864000000,0.683
51.868000000,0.681
51.872000000,0.681
51.876000000,0.681
51.880000000,0.681
51.884000000,0.681
51.888000000,0.683
51.892000000,0.683
51.896000000,0.681
51.900000000,0.681
51.904000000,0.683
51.908000000,0.683
51.912000000,0.681
51.916000000,0.683
51.920000000,0.681
51.924000000,0.683
51.928000000,0.681
51.932000000,0.683
51.936000000,0.681
51.940000000,0.683
51.944000000,0.681
51.948000000,0.681
51.952000000,0.683
51.956000000,0.683
51.960000000,0.683
51.964000000,0.681
51.968000000,0.681
51.972000000,0.681
51.976000000,0.683
51.980000000,0.681
51.984000000,0.681
51.988000000,0.681
51.992000000,0.681
51.996000000,0.681
52.000000000,0.681
52.004000000,0.681
52.008000000,0.683
52.012000000,0.683
52.016000000,0.683
52.020000000,0.683
52.024000000,0.681
52.028000000,0.681
52.032000000,0.681
52.036000000,0.681
52.040000000,0.683
52.044000000,0.681
52.048000000,0.683
52.052000000,0.683
52.056000000,0.681
52.060000000,0.681
52.064000000,0.683
52.068000000,0.681
52.072000000,0.683
52.076000000,0.683
52.080000000,0.681
52.084000000,0.683
52.088000000,0.681
52.092000000,0.681
52.096000000,0.681
52.100000000,0.681
52.104000000,0.681
52.108000000,0.681
52.112000000,0.681
52.116000000,0.681
52.120000000,0.683
52.124000000,0.683
52.128000000,0.681
52.132000000,0.683
52.136000000,0.681
52.140000000,0.681
52.144000000,0.681
52.148000000,0.681
52.152000000,0.681
52.156000000,0.681
52.160000000,0.681
52.164000000,0.681
52.168000000,0.681
52.172000000,0.681
52.176000000,0.681
52.180000000,0.681
52.184000000,0.683
52.188000000,0.683
52.192000000,0.681
52.196000000,0.681
52.200000000,0.683
52.204000000,0.683
52.208000000,0.681
52.212000000,0.681
52.216000000,0.681
52.220000000,0.681
52.224000000,0.681
52.228000000,0.683
52.232000000,0.681
52.236000000,0.683
52.240000000,0.681
52.244000000,0.681
52.248000000,0.681
52.252000000,0.683
52.256000000,0.681
52.260000000,0.681
52.264000000,0.681
